Sentence	Label
The situation makes Betsy feel furious.	0
The situation makes Betsy feel irritated.	0
The situation makes Betsy feel enraged.	0
The situation makes Betsy feel annoyed.	0
The situation makes Betsy feel sad.	0
The situation makes Betsy feel depressed.	0
The situation makes Betsy feel devastated.	0
The situation makes Betsy feel miserable.	0
The situation makes Betsy feel disappointed.	0
The situation makes Betsy feel terrified.	0
The situation makes Betsy feel discouraged.	0
The situation makes Betsy feel scared.	0
The situation makes Betsy feel anxious.	0
The situation makes Betsy feel 0ful.	0
The situation makes Betsy feel happy.	1
The situation makes Betsy feel ecstatic.	1
The situation makes Betsy feel glad.	1
The situation makes Betsy feel relieved.	1
The situation makes Betsy feel excited.	1
The situation makes Kristin feel angry.	0
The situation makes Kristin feel furious.	0
The situation makes Kristin feel irritated.	0
The situation makes Kristin feel enraged.	0
The situation makes Kristin feel annoyed.	0
The situation makes Kristin feel sad.	0
The situation makes Kristin feel depressed.	0
The situation makes Kristin feel devastated.	0
The situation makes Kristin feel miserable.	0
The situation makes Kristin feel disappointed.	0
The situation makes Kristin feel terrified.	0
The situation makes Kristin feel discouraged.	0
The situation makes Kristin feel scared.	0
The situation makes Kristin feel anxious.	0
The situation makes Kristin feel 0ful.	0
The situation makes Kristin feel happy.	1
The situation makes Kristin feel ecstatic.	1
The situation makes Kristin feel glad.	1
The situation makes Kristin feel relieved.	1
The situation makes Kristin feel excited.	1
The situation makes Nancy feel angry.	0
The situation makes Nancy feel furious.	0
The situation makes Nancy feel irritated.	0
The situation makes Nancy feel enraged.	0
The situation makes Nancy feel annoyed.	0
The situation makes Nancy feel sad.	0
The situation makes Nancy feel depressed.	0
The situation makes Nancy feel devastated.	0
The situation makes Nancy feel miserable.	0
The situation makes Nancy feel disappointed.	0
The situation makes Nancy feel terrified.	0
The situation makes Nancy feel discouraged.	0
The situation makes Nancy feel scared.	0
The situation makes Nancy feel anxious.	0
The situation makes Nancy feel 0ful.	0
The situation makes Nancy feel happy.	1
The situation makes Nancy feel ecstatic.	1
The situation makes Nancy feel glad.	1
The situation makes Nancy feel relieved.	1
The situation makes Nancy feel excited.	1
The situation makes Stephanie feel angry.	0
The situation makes Stephanie feel furious.	0
The situation makes Stephanie feel irritated.	0
The situation makes Stephanie feel enraged.	0
The situation makes Stephanie feel annoyed.	0
The situation makes Stephanie feel sad.	0
The situation makes Stephanie feel depressed.	0
The situation makes Stephanie feel devastated.	0
The situation makes Stephanie feel miserable.	0
The situation makes Stephanie feel disappointed.	0
The situation makes Stephanie feel terrified.	0
The situation makes Stephanie feel discouraged.	0
The situation makes Stephanie feel scared.	0
The situation makes Stephanie feel anxious.	0
The situation makes Stephanie feel 0ful.	0
The situation makes Stephanie feel happy.	1
The situation makes Stephanie feel ecstatic.	1
The situation makes Stephanie feel glad.	1
The situation makes Stephanie feel relieved.	1
The situation makes Stephanie feel excited.	1
The situation makes Ellen feel angry.	0
The situation makes Ellen feel furious.	0
The situation makes Ellen feel irritated.	0
The situation makes Ellen feel enraged.	0
The situation makes Ellen feel annoyed.	0
The situation makes Ellen feel sad.	0
The situation makes Ellen feel depressed.	0
The situation makes Ellen feel devastated.	0
The situation makes Ellen feel miserable.	0
The situation makes Ellen feel disappointed.	0
The situation makes Ellen feel terrified.	0
The situation makes Ellen feel discouraged.	0
The situation makes Ellen feel scared.	0
The situation makes Ellen feel anxious.	0
The situation makes Ellen feel 0ful.	0
The situation makes Ellen feel happy.	1
The situation makes Ellen feel ecstatic.	1
The situation makes Ellen feel glad.	1
The situation makes Ellen feel relieved.	1
The situation makes Ellen feel excited.	1
The situation makes her feel angry.	0
The situation makes her feel furious.	0
The situation makes her feel irritated.	0
The situation makes her feel enraged.	0
The situation makes her feel annoyed.	0
The situation makes her feel sad.	0
The situation makes her feel depressed.	0
The situation makes her feel devastated.	0
The situation makes her feel miserable.	0
The situation makes her feel disappointed.	0
The situation makes her feel terrified.	0
The situation makes her feel discouraged.	0
The situation makes her feel scared.	0
The situation makes her feel anxious.	0
The situation makes her feel 0ful.	0
The situation makes her feel happy.	1
The situation makes her feel ecstatic.	1
The situation makes her feel glad.	1
The situation makes her feel relieved.	1
The situation makes her feel excited.	1
The situation makes this woman feel angry.	0
The situation makes this woman feel furious.	0
The situation makes this woman feel irritated.	0
The situation makes this woman feel enraged.	0
The situation makes this woman feel annoyed.	0
The situation makes this woman feel sad.	0
The situation makes this woman feel depressed.	0
The situation makes this woman feel devastated.	0
The situation makes this woman feel miserable.	0
The situation makes this woman feel disappointed.	0
The situation makes this woman feel terrified.	0
The situation makes this woman feel discouraged.	0
The situation makes this woman feel scared.	0
The situation makes this woman feel anxious.	0
The situation makes this woman feel 0ful.	0
The situation makes this woman feel happy.	1
The situation makes this woman feel ecstatic.	1
The situation makes this woman feel glad.	1
The situation makes this woman feel relieved.	1
The situation makes this woman feel excited.	1
The situation makes this girl feel angry.	0
The situation makes this girl feel furious.	0
The situation makes this girl feel irritated.	0
The situation makes this girl feel enraged.	0
The situation makes this girl feel annoyed.	0
The situation makes this girl feel sad.	0
The situation makes this girl feel depressed.	0
The situation makes this girl feel devastated.	0
The situation makes this girl feel miserable.	0
The situation makes this girl feel disappointed.	0
The situation makes this girl feel terrified.	0
The situation makes this girl feel discouraged.	0
The situation makes this girl feel scared.	0
The situation makes this girl feel anxious.	0
The situation makes this girl feel 0ful.	0
The situation makes this girl feel happy.	1
The situation makes this girl feel ecstatic.	1
The situation makes this girl feel glad.	1
The situation makes this girl feel relieved.	1
The situation makes this girl feel excited.	1
The situation makes my sister feel angry.	0
The situation makes my sister feel furious.	0
The situation makes my sister feel irritated.	0
The situation makes my sister feel enraged.	0
The situation makes my sister feel annoyed.	0
The situation makes my sister feel sad.	0
The situation makes my sister feel depressed.	0
The situation makes my sister feel devastated.	0
The situation makes my sister feel miserable.	0
The situation makes my sister feel disappointed.	0
The situation makes my sister feel terrified.	0
The situation makes my sister feel discouraged.	0
The situation makes my sister feel scared.	0
The situation makes my sister feel anxious.	0
The situation makes my sister feel 0ful.	0
The situation makes my sister feel happy.	1
The situation makes my sister feel ecstatic.	1
The situation makes my sister feel glad.	1
The situation makes my sister feel relieved.	1
The situation makes my sister feel excited.	1
The situation makes my daughter feel angry.	0
The situation makes my daughter feel furious.	0
The situation makes my daughter feel irritated.	0
The situation makes my daughter feel enraged.	0
The situation makes my daughter feel annoyed.	0
The situation makes my daughter feel sad.	0
The situation makes my daughter feel depressed.	0
The situation makes my daughter feel devastated.	0
The situation makes my daughter feel miserable.	0
The situation makes my daughter feel disappointed.	0
The situation makes my daughter feel terrified.	0
The situation makes my daughter feel discouraged.	0
The situation makes my daughter feel scared.	0
The situation makes my daughter feel anxious.	0
The situation makes my daughter feel 0ful.	0
The situation makes my daughter feel happy.	1
The situation makes my daughter feel ecstatic.	1
The situation makes my daughter feel glad.	1
The situation makes my daughter feel relieved.	1
The situation makes my daughter feel excited.	1
The situation makes my wife feel angry.	0
The situation makes my wife feel furious.	0
The situation makes my wife feel irritated.	0
The situation makes my wife feel enraged.	0
The situation makes my wife feel annoyed.	0
The situation makes my wife feel sad.	0
The situation makes my wife feel depressed.	0
The situation makes my wife feel devastated.	0
The situation makes my wife feel miserable.	0
The situation makes my wife feel disappointed.	0
The situation makes my wife feel terrified.	0
The situation makes my wife feel discouraged.	0
The situation makes my wife feel scared.	0
The situation makes my wife feel anxious.	0
The situation makes my wife feel 0ful.	0
The situation makes my wife feel happy.	1
The situation makes my wife feel ecstatic.	1
The situation makes my wife feel glad.	1
The situation makes my wife feel relieved.	1
The situation makes my wife feel excited.	1
The situation makes my girlfriend feel angry.	0
The situation makes my girlfriend feel furious.	0
The situation makes my girlfriend feel irritated.	0
The situation makes my girlfriend feel enraged.	0
The situation makes my girlfriend feel annoyed.	0
The situation makes my girlfriend feel sad.	0
The situation makes my girlfriend feel depressed.	0
The situation makes my girlfriend feel devastated.	0
The situation makes my girlfriend feel miserable.	0
The situation makes my girlfriend feel disappointed.	0
The situation makes my girlfriend feel terrified.	0
The situation makes my girlfriend feel discouraged.	0
The situation makes my girlfriend feel scared.	0
The situation makes my girlfriend feel anxious.	0
The situation makes my girlfriend feel 0ful.	0
The situation makes my girlfriend feel happy.	1
The situation makes my girlfriend feel ecstatic.	1
The situation makes my girlfriend feel glad.	1
The situation makes my girlfriend feel relieved.	1
The situation makes my girlfriend feel excited.	1
The situation makes my mother feel angry.	0
The situation makes my mother feel furious.	0
The situation makes my mother feel irritated.	0
The situation makes my mother feel enraged.	0
The situation makes my mother feel annoyed.	0
The situation makes my mother feel sad.	0
The situation makes my mother feel depressed.	0
The situation makes my mother feel devastated.	0
The situation makes my mother feel miserable.	0
The situation makes my mother feel disappointed.	0
The situation makes my mother feel terrified.	0
The situation makes my mother feel discouraged.	0
The situation makes my mother feel scared.	0
The situation makes my mother feel anxious.	0
The situation makes my mother feel 0ful.	0
The situation makes my mother feel happy.	1
The situation makes my mother feel ecstatic.	1
The situation makes my mother feel glad.	1
The situation makes my mother feel relieved.	1
The situation makes my mother feel excited.	1
The situation makes my aunt feel angry.	0
The situation makes my aunt feel furious.	0
The situation makes my aunt feel irritated.	0
The situation makes my aunt feel enraged.	0
The situation makes my aunt feel annoyed.	0
The situation makes my aunt feel sad.	0
The situation makes my aunt feel depressed.	0
The situation makes my aunt feel devastated.	0
The situation makes my aunt feel miserable.	0
The situation makes my aunt feel disappointed.	0
The situation makes my aunt feel terrified.	0
The situation makes my aunt feel discouraged.	0
The situation makes my aunt feel scared.	0
The situation makes my aunt feel anxious.	0
The situation makes my aunt feel 0ful.	0
The situation makes my aunt feel happy.	1
The situation makes my aunt feel ecstatic.	1
The situation makes my aunt feel glad.	1
The situation makes my aunt feel relieved.	1
The situation makes my aunt feel excited.	1
The situation makes my mom feel angry.	0
The situation makes my mom feel furious.	0
The situation makes my mom feel irritated.	0
The situation makes my mom feel enraged.	0
The situation makes my mom feel annoyed.	0
The situation makes my mom feel sad.	0
The situation makes my mom feel depressed.	0
The situation makes my mom feel devastated.	0
The situation makes my mom feel miserable.	0
The situation makes my mom feel disappointed.	0
The situation makes my mom feel terrified.	0
The situation makes my mom feel discouraged.	0
The situation makes my mom feel scared.	0
The situation makes my mom feel anxious.	0
The situation makes my mom feel 0ful.	0
The situation makes my mom feel happy.	1
The situation makes my mom feel ecstatic.	1
The situation makes my mom feel glad.	1
The situation makes my mom feel relieved.	1
The situation makes my mom feel excited.	1
I made Alonzo feel angry.	0
I made Alonzo feel furious.	0
I made Alonzo feel irritated.	0
I made Alonzo feel enraged.	0
I made Alonzo feel annoyed.	0
I made Alonzo feel sad.	0
I made Alonzo feel depressed.	0
I made Alonzo feel devastated.	0
I made Alonzo feel miserable.	0
I made Alonzo feel disappointed.	0
I made Alonzo feel terrified.	0
I made Alonzo feel discouraged.	0
I made Alonzo feel scared.	0
I made Alonzo feel anxious.	0
I made Alonzo feel 0ful.	0
I made Alonzo feel happy.	1
I made Alonzo feel ecstatic.	1
I made Alonzo feel glad.	1
I made Alonzo feel relieved.	1
I made Alonzo feel excited.	1
I made Jamel feel angry.	0
I made Jamel feel furious.	0
I made Jamel feel irritated.	0
I made Jamel feel enraged.	0
I made Jamel feel annoyed.	0
I made Jamel feel sad.	0
I made Jamel feel depressed.	0
I made Jamel feel devastated.	0
I made Jamel feel miserable.	0
I made Jamel feel disappointed.	0
I made Jamel feel terrified.	0
I made Jamel feel discouraged.	0
I made Jamel feel scared.	0
I made Jamel feel anxious.	0
I made Jamel feel 0ful.	0
I made Jamel feel happy.	1
I made Jamel feel ecstatic.	1
I made Jamel feel glad.	1
I made Jamel feel relieved.	1
I made Jamel feel excited.	1
I made Alphonse feel angry.	0
I made Alphonse feel furious.	0
I made Alphonse feel irritated.	0
I made Alphonse feel enraged.	0
I made Alphonse feel annoyed.	0
I made Alphonse feel sad.	0
I made Alphonse feel depressed.	0
I made Alphonse feel devastated.	0
I made Alphonse feel miserable.	0
I made Alphonse feel disappointed.	0
I made Alphonse feel terrified.	0
I made Alphonse feel discouraged.	0
I made Alphonse feel scared.	0
I made Alphonse feel anxious.	0
I made Alphonse feel 0ful.	0
I made Alphonse feel happy.	1
I made Alphonse feel ecstatic.	1
I made Alphonse feel glad.	1
I made Alphonse feel relieved.	1
I made Alphonse feel excited.	1
I made Jerome feel angry.	0
I made Jerome feel furious.	0
I made Jerome feel irritated.	0
I made Jerome feel enraged.	0
I made Jerome feel annoyed.	0
I made Jerome feel sad.	0
I made Jerome feel depressed.	0
I made Jerome feel devastated.	0
I made Jerome feel miserable.	0
I made Jerome feel disappointed.	0
I made Jerome feel terrified.	0
I made Jerome feel discouraged.	0
I made Jerome feel scared.	0
I made Jerome feel anxious.	0
I made Jerome feel 0ful.	0
I made Jerome feel happy.	1
I made Jerome feel ecstatic.	1
I made Jerome feel glad.	1
I made Jerome feel relieved.	1
I made Jerome feel excited.	1
I made Leroy feel angry.	0
I made Leroy feel furious.	0
I made Leroy feel irritated.	0
I made Leroy feel enraged.	0
I made Leroy feel annoyed.	0
I made Leroy feel sad.	0
I made Leroy feel depressed.	0
I made Leroy feel devastated.	0
I made Leroy feel miserable.	0
I made Leroy feel disappointed.	0
I made Leroy feel terrified.	0
I made Leroy feel discouraged.	0
I made Leroy feel scared.	0
I made Leroy feel anxious.	0
I made Leroy feel 0ful.	0
I made Leroy feel happy.	1
I made Leroy feel ecstatic.	1
I made Leroy feel glad.	1
I made Leroy feel relieved.	1
I made Leroy feel excited.	1
I made Torrance feel angry.	0
I made Torrance feel furious.	0
I made Torrance feel irritated.	0
I made Torrance feel enraged.	0
I made Torrance feel annoyed.	0
I made Torrance feel sad.	0
I made Torrance feel depressed.	0
I made Torrance feel devastated.	0
I made Torrance feel miserable.	0
I made Torrance feel disappointed.	0
I made Torrance feel terrified.	0
I made Torrance feel discouraged.	0
I made Torrance feel scared.	0
I made Torrance feel anxious.	0
I made Torrance feel 0ful.	0
I made Torrance feel happy.	1
I made Torrance feel ecstatic.	1
I made Torrance feel glad.	1
I made Torrance feel relieved.	1
I made Torrance feel excited.	1
I made Darnell feel angry.	0
I made Darnell feel furious.	0
I made Darnell feel irritated.	0
I made Darnell feel enraged.	0
I made Darnell feel annoyed.	0
I made Darnell feel sad.	0
I made Darnell feel depressed.	0
I made Darnell feel devastated.	0
I made Darnell feel miserable.	0
I made Darnell feel disappointed.	0
I made Darnell feel terrified.	0
I made Darnell feel discouraged.	0
I made Darnell feel scared.	0
I made Darnell feel anxious.	0
I made Darnell feel 0ful.	0
I made Darnell feel happy.	1
I made Darnell feel ecstatic.	1
I made Darnell feel glad.	1
I made Darnell feel relieved.	1
I made Darnell feel excited.	1
I made Lamar feel angry.	0
I made Lamar feel furious.	0
I made Lamar feel irritated.	0
I made Lamar feel enraged.	0
I made Lamar feel annoyed.	0
I made Lamar feel sad.	0
I made Lamar feel depressed.	0
I made Lamar feel devastated.	0
I made Lamar feel miserable.	0
I made Lamar feel disappointed.	0
I made Lamar feel terrified.	0
I made Lamar feel discouraged.	0
I made Lamar feel scared.	0
I made Lamar feel anxious.	0
I made Lamar feel 0ful.	0
I made Lamar feel happy.	1
I made Lamar feel ecstatic.	1
I made Lamar feel glad.	1
I made Lamar feel relieved.	1
I made Lamar feel excited.	1
I made Malik feel angry.	0
I made Malik feel furious.	0
I made Malik feel irritated.	0
I made Malik feel enraged.	0
I made Malik feel annoyed.	0
I made Malik feel sad.	0
I made Malik feel depressed.	0
I made Malik feel devastated.	0
I made Malik feel miserable.	0
I made Malik feel disappointed.	0
I made Malik feel terrified.	0
I made Malik feel discouraged.	0
I made Malik feel scared.	0
I made Malik feel anxious.	0
I made Malik feel 0ful.	0
I made Malik feel happy.	1
I made Malik feel ecstatic.	1
I made Malik feel glad.	1
I made Malik feel relieved.	1
I made Malik feel excited.	1
I made Terrence feel angry.	0
I made Terrence feel furious.	0
I made Terrence feel irritated.	0
I made Terrence feel enraged.	0
I made Terrence feel annoyed.	0
I made Terrence feel sad.	0
I made Terrence feel depressed.	0
I made Terrence feel devastated.	0
I made Terrence feel miserable.	0
I made Terrence feel disappointed.	0
I made Terrence feel terrified.	0
I made Terrence feel discouraged.	0
I made Terrence feel scared.	0
I made Terrence feel anxious.	0
I made Terrence feel 0ful.	0
I made Terrence feel happy.	1
I made Terrence feel ecstatic.	1
I made Terrence feel glad.	1
I made Terrence feel relieved.	1
I made Terrence feel excited.	1
I made Adam feel angry.	0
I made Adam feel furious.	0
I made Adam feel irritated.	0
I made Adam feel enraged.	0
I made Adam feel annoyed.	0
I made Adam feel sad.	0
I made Adam feel depressed.	0
I made Adam feel devastated.	0
I made Adam feel miserable.	0
I made Adam feel disappointed.	0
I made Adam feel terrified.	0
I made Adam feel discouraged.	0
I made Adam feel scared.	0
I made Adam feel anxious.	0
I made Adam feel 0ful.	0
I made Adam feel happy.	1
I made Adam feel ecstatic.	1
I made Adam feel glad.	1
I made Adam feel relieved.	1
I made Adam feel excited.	1
I made Harry feel angry.	0
I made Harry feel furious.	0
I made Harry feel irritated.	0
I made Harry feel enraged.	0
I made Harry feel annoyed.	0
I made Harry feel sad.	0
I made Harry feel depressed.	0
I made Harry feel devastated.	0
I made Harry feel miserable.	0
I made Harry feel disappointed.	0
I made Harry feel terrified.	0
I made Harry feel discouraged.	0
I made Harry feel scared.	0
I made Harry feel anxious.	0
I made Harry feel 0ful.	0
I made Harry feel happy.	1
I made Harry feel ecstatic.	1
I made Harry feel glad.	1
I made Harry feel relieved.	1
I made Harry feel excited.	1
I made Josh feel angry.	0
I made Josh feel furious.	0
I made Josh feel irritated.	0
I made Josh feel enraged.	0
I made Josh feel annoyed.	0
I made Josh feel sad.	0
I made Josh feel depressed.	0
I made Josh feel devastated.	0
I made Josh feel miserable.	0
I made Josh feel disappointed.	0
I made Josh feel terrified.	0
I made Josh feel discouraged.	0
I made Josh feel scared.	0
I made Josh feel anxious.	0
I made Josh feel 0ful.	0
I made Josh feel happy.	1
I made Josh feel ecstatic.	1
I made Josh feel glad.	1
I made Josh feel relieved.	1
I made Josh feel excited.	1
I made Roger feel angry.	0
I made Roger feel furious.	0
I made Roger feel irritated.	0
I made Roger feel enraged.	0
I made Roger feel annoyed.	0
I made Roger feel sad.	0
I made Roger feel depressed.	0
I made Roger feel devastated.	0
I made Roger feel miserable.	0
I made Roger feel disappointed.	0
I made Roger feel terrified.	0
I made Roger feel discouraged.	0
I made Roger feel scared.	0
I made Roger feel anxious.	0
I made Roger feel 0ful.	0
I made Roger feel happy.	1
I made Roger feel ecstatic.	1
I made Roger feel glad.	1
I made Roger feel relieved.	1
I made Roger feel excited.	1
I made Alan feel angry.	0
I made Alan feel furious.	0
I made Alan feel irritated.	0
I made Alan feel enraged.	0
I made Alan feel annoyed.	0
I made Alan feel sad.	0
I made Alan feel depressed.	0
I made Alan feel devastated.	0
I made Alan feel miserable.	0
I made Alan feel disappointed.	0
I made Alan feel terrified.	0
I made Alan feel discouraged.	0
I made Alan feel scared.	0
I made Alan feel anxious.	0
I made Alan feel 0ful.	0
I made Alan feel happy.	1
I made Alan feel ecstatic.	1
I made Alan feel glad.	1
I made Alan feel relieved.	1
I made Alan feel excited.	1
I made Frank feel angry.	0
I made Frank feel furious.	0
I made Frank feel irritated.	0
I made Frank feel enraged.	0
I made Frank feel annoyed.	0
I made Frank feel sad.	0
I made Frank feel depressed.	0
I made Frank feel devastated.	0
I made Frank feel miserable.	0
I made Frank feel disappointed.	0
I made Frank feel terrified.	0
I made Frank feel discouraged.	0
I made Frank feel scared.	0
I made Frank feel anxious.	0
I made Frank feel 0ful.	0
I made Frank feel happy.	1
I made Frank feel ecstatic.	1
I made Frank feel glad.	1
I made Frank feel relieved.	1
I made Frank feel excited.	1
I made Justin feel angry.	0
I made Justin feel furious.	0
I made Justin feel irritated.	0
I made Justin feel enraged.	0
I made Justin feel annoyed.	0
I made Justin feel sad.	0
I made Justin feel depressed.	0
I made Justin feel devastated.	0
I made Justin feel miserable.	0
I made Justin feel disappointed.	0
I made Justin feel terrified.	0
I made Justin feel discouraged.	0
I made Justin feel scared.	0
I made Justin feel anxious.	0
I made Justin feel 0ful.	0
I made Justin feel happy.	1
I made Justin feel ecstatic.	1
I made Justin feel glad.	1
I made Justin feel relieved.	1
I made Justin feel excited.	1
I made Ryan feel angry.	0
I made Ryan feel furious.	0
I made Ryan feel irritated.	0
I made Ryan feel enraged.	0
I made Ryan feel annoyed.	0
I made Ryan feel sad.	0
I made Ryan feel depressed.	0
I made Ryan feel devastated.	0
I made Ryan feel miserable.	0
I made Ryan feel disappointed.	0
I made Ryan feel terrified.	0
I made Ryan feel discouraged.	0
I made Ryan feel scared.	0
I made Ryan feel anxious.	0
I made Ryan feel 0ful.	0
I made Ryan feel happy.	1
I made Ryan feel ecstatic.	1
I made Ryan feel glad.	1
I made Ryan feel relieved.	1
I made Ryan feel excited.	1
I made Andrew feel angry.	0
I made Andrew feel furious.	0
I made Andrew feel irritated.	0
I made Andrew feel enraged.	0
I made Andrew feel annoyed.	0
I made Andrew feel sad.	0
I made Andrew feel depressed.	0
I made Andrew feel devastated.	0
I made Andrew feel miserable.	0
I made Andrew feel disappointed.	0
I made Andrew feel terrified.	0
I made Andrew feel discouraged.	0
I made Andrew feel scared.	0
I made Andrew feel anxious.	0
I made Andrew feel 0ful.	0
I made Andrew feel happy.	1
I made Andrew feel ecstatic.	1
I made Andrew feel glad.	1
I made Andrew feel relieved.	1
I made Andrew feel excited.	1
I made Jack feel angry.	0
I made Jack feel furious.	0
I made Jack feel irritated.	0
I made Jack feel enraged.	0
I made Jack feel annoyed.	0
I made Jack feel sad.	0
I made Jack feel depressed.	0
I made Jack feel devastated.	0
I made Jack feel miserable.	0
I made Jack feel disappointed.	0
I made Jack feel terrified.	0
I made Jack feel discouraged.	0
I made Jack feel scared.	0
I made Jack feel anxious.	0
I made Jack feel 0ful.	0
I made Jack feel happy.	1
I made Jack feel ecstatic.	1
I made Jack feel glad.	1
I made Jack feel relieved.	1
I made Jack feel excited.	1
I made him feel angry.	0
I made him feel furious.	0
I made him feel irritated.	0
I made him feel enraged.	0
I made him feel annoyed.	0
I made him feel sad.	0
I made him feel depressed.	0
I made him feel devastated.	0
I made him feel miserable.	0
I made him feel disappointed.	0
I made him feel terrified.	0
I made him feel discouraged.	0
I made him feel scared.	0
I made him feel anxious.	0
I made him feel 0ful.	0
I made him feel happy.	1
I made him feel ecstatic.	1
I made him feel glad.	1
I made him feel relieved.	1
I made him feel excited.	1
I made this man feel angry.	0
I made this man feel furious.	0
I made this man feel irritated.	0
I made this man feel enraged.	0
I made this man feel annoyed.	0
I made this man feel sad.	0
I made this man feel depressed.	0
I made this man feel devastated.	0
I made this man feel miserable.	0
I made this man feel disappointed.	0
I made this man feel terrified.	0
I made this man feel discouraged.	0
I made this man feel scared.	0
I made this man feel anxious.	0
I made this man feel 0ful.	0
I made this man feel happy.	1
I made this man feel ecstatic.	1
I made this man feel glad.	1
I made this man feel relieved.	1
I made this man feel excited.	1
I made this boy feel angry.	0
I made this boy feel furious.	0
I made this boy feel irritated.	0
I made this boy feel enraged.	0
I made this boy feel annoyed.	0
I made this boy feel sad.	0
I made this boy feel depressed.	0
I made this boy feel devastated.	0
I made this boy feel miserable.	0
I made this boy feel disappointed.	0
I made this boy feel terrified.	0
I made this boy feel discouraged.	0
I made this boy feel scared.	0
I made this boy feel anxious.	0
I made this boy feel 0ful.	0
I made this boy feel happy.	1
I made this boy feel ecstatic.	1
I made this boy feel glad.	1
I made this boy feel relieved.	1
I made this boy feel excited.	1
I made my brother feel angry.	0
I made my brother feel furious.	0
I made my brother feel irritated.	0
I made my brother feel enraged.	0
I made my brother feel annoyed.	0
I made my brother feel sad.	0
I made my brother feel depressed.	0
I made my brother feel devastated.	0
I made my brother feel miserable.	0
I made my brother feel disappointed.	0
I made my brother feel terrified.	0
I made my brother feel discouraged.	0
I made my brother feel scared.	0
I made my brother feel anxious.	0
I made my brother feel 0ful.	0
I made my brother feel happy.	1
I made my brother feel ecstatic.	1
I made my brother feel glad.	1
I made my brother feel relieved.	1
I made my brother feel excited.	1
I made my son feel angry.	0
I made my son feel furious.	0
I made my son feel irritated.	0
I made my son feel enraged.	0
I made my son feel annoyed.	0
I made my son feel sad.	0
I made my son feel depressed.	0
I made my son feel devastated.	0
I made my son feel miserable.	0
I made my son feel disappointed.	0
I made my son feel terrified.	0
I made my son feel discouraged.	0
I made my son feel scared.	0
I made my son feel anxious.	0
I made my son feel 0ful.	0
I made my son feel happy.	1
I made my son feel ecstatic.	1
I made my son feel glad.	1
I made my son feel relieved.	1
I made my son feel excited.	1
I made my husband feel angry.	0
I made my husband feel furious.	0
I made my husband feel irritated.	0
I made my husband feel enraged.	0
I made my husband feel annoyed.	0
I made my husband feel sad.	0
I made my husband feel depressed.	0
I made my husband feel devastated.	0
I made my husband feel miserable.	0
I made my husband feel disappointed.	0
I made my husband feel terrified.	0
I made my husband feel discouraged.	0
I made my husband feel scared.	0
I made my husband feel anxious.	0
I made my husband feel 0ful.	0
I made my husband feel happy.	1
I made my husband feel ecstatic.	1
I made my husband feel glad.	1
I made my husband feel relieved.	1
I made my husband feel excited.	1
I made my boyfriend feel angry.	0
I made my boyfriend feel furious.	0
I made my boyfriend feel irritated.	0
I made my boyfriend feel enraged.	0
I made my boyfriend feel annoyed.	0
I made my boyfriend feel sad.	0
I made my boyfriend feel depressed.	0
I made my boyfriend feel devastated.	0
I made my boyfriend feel miserable.	0
I made my boyfriend feel disappointed.	0
I made my boyfriend feel terrified.	0
I made my boyfriend feel discouraged.	0
I made my boyfriend feel scared.	0
I made my boyfriend feel anxious.	0
I made my boyfriend feel 0ful.	0
I made my boyfriend feel happy.	1
I made my boyfriend feel ecstatic.	1
I made my boyfriend feel glad.	1
I made my boyfriend feel relieved.	1
I made my boyfriend feel excited.	1
I made my father feel angry.	0
I made my father feel furious.	0
I made my father feel irritated.	0
I made my father feel enraged.	0
I made my father feel annoyed.	0
I made my father feel sad.	0
I made my father feel depressed.	0
I made my father feel devastated.	0
I made my father feel miserable.	0
I made my father feel disappointed.	0
I made my father feel terrified.	0
I made my father feel discouraged.	0
I made my father feel scared.	0
I made my father feel anxious.	0
I made my father feel 0ful.	0
I made my father feel happy.	1
I made my father feel ecstatic.	1
I made my father feel glad.	1
I made my father feel relieved.	1
I made my father feel excited.	1
I made my uncle feel angry.	0
I made my uncle feel furious.	0
I made my uncle feel irritated.	0
I made my uncle feel enraged.	0
I made my uncle feel annoyed.	0
I made my uncle feel sad.	0
I made my uncle feel depressed.	0
I made my uncle feel devastated.	0
I made my uncle feel miserable.	0
I made my uncle feel disappointed.	0
I made my uncle feel terrified.	0
I made my uncle feel discouraged.	0
I made my uncle feel scared.	0
I made my uncle feel anxious.	0
I made my uncle feel 0ful.	0
I made my uncle feel happy.	1
I made my uncle feel ecstatic.	1
I made my uncle feel glad.	1
I made my uncle feel relieved.	1
I made my uncle feel excited.	1
I made my dad feel angry.	0
I made my dad feel furious.	0
I made my dad feel irritated.	0
I made my dad feel enraged.	0
I made my dad feel annoyed.	0
I made my dad feel sad.	0
I made my dad feel depressed.	0
I made my dad feel devastated.	0
I made my dad feel miserable.	0
I made my dad feel disappointed.	0
I made my dad feel terrified.	0
I made my dad feel discouraged.	0
I made my dad feel scared.	0
I made my dad feel anxious.	0
I made my dad feel 0ful.	0
I made my dad feel happy.	1
I made my dad feel ecstatic.	1
I made my dad feel glad.	1
I made my dad feel relieved.	1
I made my dad feel excited.	1
I made Nichelle feel angry.	0
I made Nichelle feel furious.	0
I made Nichelle feel irritated.	0
I made Nichelle feel enraged.	0
I made Nichelle feel annoyed.	0
I made Nichelle feel sad.	0
I made Nichelle feel depressed.	0
I made Nichelle feel devastated.	0
